room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
8948940,1235,30365727,Entire home/apt,,Helsinki,,HAAGA,11,5.0,7,4.0,,131.0,,Cosy real home,House,2017-05-18 03:59:30.516101,60.22123,24.898821,0101000020E610000041F50F2219E638407172BF43511C4E40
4192755,1235,21623255,Entire home/apt,,Helsinki,,VUOSAARI,6,5.0,7,4.0,,125.0,,Modern house by the sea,House,2017-05-18 03:59:30.444811,60.198712,25.125701,0101000020E61000001213D4F02D20394050A912656F194E40
5169311,1235,26735423,Entire home/apt,,Helsinki,,KRUUNUNHAKA,1,0.0,4,3.0,,131.0,,3 bedroom flat in a city center,Apartment,2017-05-18 03:59:28.397982,60.175588,24.951069,0101000020E61000004B3D0B4279F33840F7C8E6AA79164E40
13994414,1235,13640379,Entire home/apt,,Helsinki,,LÄNSISATAMA,0,0.0,4,2.0,,119.0,,Loft with a sea view and sauna,Loft,2017-05-18 03:59:20.805931,60.16142,24.90317,0101000020E610000073BA2C2636E73840CD751A69A9144E40
17941888,1235,64259862,Entire home/apt,,Helsinki,,VUOSAARI,0,0.0,5,3.0,,42.0,,Очаровательная квартира в Хельсинки,House,2017-05-18 03:58:29.488488,60.217733,25.15099,0101000020E6100000E605D847A72639404721C9ACDE1B4E40
18515393,1235,20362859,Entire home/apt,,Helsinki,,KLUUVI,0,0.0,4,1.0,,273.0,,"Penthouse (95sqm), Helsinki city centre",Loft,2017-05-18 03:58:14.248471,60.170443,24.94786,0101000020E6100000C22FF5F3A6F23840836A8313D1154E40
1691002,1235,4437288,Entire home/apt,,Helsinki,,LAAJASALO,30,4.5,10,4.0,,170.0,,House for 8-10 / 5 km to Center,House,2017-05-18 03:58:05.277938,60.18172,25.050142,0101000020E6100000F2272A1BD60C3940BA83D89942174E40
12462740,1235,196946,Entire home/apt,,Helsinki,,RUSKEASUO,0,0.0,4,2.0,,170.0,,New flat full of light ideal for families.,Apartment,2017-05-18 03:58:02.208122,60.200416,24.895181,0101000020E61000002600FF942AE538402DCC423BA7194E40
14269184,1235,86981676,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,38,4.5,7,3.0,,170.0,,Big own cozy Apt.in centre!,Apartment,2017-05-18 03:57:58.599977,60.171591,24.928571,0101000020E610000097033DD4B6ED3840DBA4A2B1F6154E40
1737100,1235,1496823,Entire home/apt,,Helsinki,,KAMPPI,126,5.0,6,2.0,,152.0,,"Awesome, big flat downtown Helsinki",Apartment,2017-05-18 03:57:54.806378,60.16646,24.931273,0101000020E6100000D7A546E867EE3840CC0BB08F4E154E40
