room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
16990357,1155,83672526,Shared room,,Helsinki,,VUOSAARI,1,,1,1.0,,22.0,,A cozy room for cheap sleep in Helsinki,Apartment,2017-04-28 20:37:39.085790,60.203332,25.121607,0101000020E6100000F5F6E7A2211F39407A1D71C8061A4E40
18151303,1155,125149453,Shared room,,Helsinki,,SÖRNÄINEN,1,,1,1.0,,29.0,,Bed sofa in popular and hip Kallio district,Apartment,2017-04-28 20:37:39.099803,60.18547,24.962884,0101000020E610000077D7D9907FF63840CF31207BBD174E40
17498576,1155,118042745,Shared room,,Helsinki,,HAAGA,1,,1,1.0,,11.0,,Cosy room in Helsinki,Apartment,2017-04-28 20:37:39.102371,60.228998,24.898275,0101000020E61000007DD0B359F5E53840B96C74CE4F1D4E40
17235470,1155,3150832,Shared room,,Helsinki,,HERTTONIEMI,2,,2,1.0,,23.0,,Your home in central Helsinki,Apartment,2017-04-28 20:37:39.107727,60.203146,25.063473,0101000020E6100000D32D3BC43F103940172829B0001A4E40
17132639,1155,83816701,Shared room,,Helsinki,,VUOSAARI,1,,1,1.0,,23.0,,Convenient transportations,Apartment,2017-04-28 20:37:40.029687,60.20394,25.121642,0101000020E6100000EED11BEE231F3940522CB7B41A1A4E40
16068672,1155,23856277,Shared room,,Helsinki,,PITÄJÄNMÄKI,0,,2,1.0,,28.0,,Nice living space available in Helsinki,Apartment,2017-04-28 20:37:40.040789,60.227198,24.85159,0101000020E6100000C4995FCD01DA3840BADBF5D2141D4E40
17648735,1155,120073851,Shared room,,Helsinki,,VUOSAARI,0,,1,1.0,,28.0,,Home Away From Home,Apartment,2017-04-28 20:37:40.043556,60.201757,25.122119,0101000020E61000006138D730431F39409A5E622CD3194E40
14044889,1155,84189818,Shared room,,Helsinki,,KALLIO,0,,2,1.0,,39.0,,,Apartment,2017-04-28 20:37:40.051474,60.183294,24.951222,0101000020E6100000583CF54883F33840C9C6832D76174E40
9151812,1155,47630803,Shared room,,Helsinki,,MELLUNKYLÄ,1,,1,1.0,,23.0,,Furnished room available,Apartment,2017-04-28 20:37:41.086359,60.242954,25.085951,0101000020E6100000FA0E7EE2001639405837DE1D191F4E40
9566667,1155,49528379,Shared room,,Helsinki,,MELLUNKYLÄ,0,,2,1.0,,36.0,,"Itä-Helsinki, Kontula.",Apartment,2017-04-28 20:37:41.103426,60.239635,25.084183,0101000020E610000011E15F048D1539400DFD135CAC1E4E40
11561006,1155,18525830,Entire home/apt,,Helsinki,,KALLIO,0,,3,1.0,,55.0,,Flat in Kallio-near city centert,Apartment,2017-04-28 20:38:43.970495,60.182941,24.95765,0101000020E6100000B003E78C28F538407C0C569C6A174E40
