room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16267101,1140,64813455,Private room,,Edinburgh,,Harbour,1,,2,1.0,,66.0,,Very Large Bright Room.,2017-04-24 03:12:30.702823,55.970375,-3.184118,0101000020E6100000E4D6A4DB127909C091ED7C3F35FC4B40
14243756,1140,44161881,Private room,,Edinburgh,,Marchmont,2,,2,1.0,,79.0,,"Large Double Room, Ideal Location for Festival",2017-04-24 03:12:30.707768,55.936014,-3.195269,0101000020E610000089618731E98F09C0904C874ECFF74B40
16041491,1140,21813126,Private room,,Edinburgh,,Newhaven,1,,2,1.0,,79.0,,Spacious Double Room [1] in a  Luxury Apartment,2017-04-24 03:12:32.394097,55.978083,-3.17906,0101000020E6100000912C6002B76E09C004E3E0D231FD4B40
6951183,1140,36443873,Private room,,Edinburgh,,Lorne,2,,2,1.0,,63.0,,Edinburgh Festival let - twin room,2017-04-24 03:12:32.403282,55.967396,-3.17286,0101000020E6100000E04A766C046209C0FF23D3A1D3FB4B40
13313963,1140,5518525,Private room,,Edinburgh,,Lorne,1,,2,1.0,,65.0,,Double Room in Sunny Top Floor School Conversion,2017-04-24 03:12:32.430239,55.969124,-3.167567,0101000020E6100000541C075E2D5709C065E256410CFC4B40
17700872,1140,40869808,Private room,,Edinburgh,,Harbour,1,,2,1.0,,66.0,,Cosy ensuite double bedroom on main street.,2017-04-24 03:12:32.432459,55.973352,-3.168623,0101000020E6100000C8D3F203575909C083BF5FCC96FC4B40
14384622,1140,88330626,Private room,,Edinburgh,,Meadowbank,1,,2,1.0,,99.0,,"Bright, modern flat with views onto Arthur Seat",2017-04-24 03:15:28.883603,55.954279,-3.152078,0101000020E61000005987A3AB743709C03A2174D025FA4B40
13918536,1140,82615123,Private room,,Edinburgh,,Duddingston,0,,2,1.0,,93.0,,Spacious double room in Edinburgh,2017-04-24 03:15:30.269866,55.940807,-3.095989,0101000020E6100000B9347EE195C408C0876C205D6CF84B40
14014156,1140,26220368,Private room,,Edinburgh,,Tollcross,1,,2,1.0,,93.0,,In the middle of it all but private and relaxing,2017-04-24 03:15:30.272719,55.944621,-3.200094,0101000020E6100000B00111E2CA9909C0B20E4757E9F84B40
7898143,1140,40725265,Private room,,Edinburgh,,Milton,2,,2,1.0,,85.0,,Quiet spacious room lovely view.,2017-04-24 03:15:30.278520,55.94337,-3.114097,0101000020E6100000DE921CB0ABE908C086032159C0F84B40
12748048,1140,24511101,Private room,,Edinburgh,,Fountainbridge,1,,2,1.0,,93.0,,Double Room near City Centre,2017-04-24 03:15:30.280640,55.945923,-3.209057,0101000020E6100000BDFF8F1326AC09C061C43E0114F94B40
764949,1140,4032602,Private room,,Edinburgh,,Mayfield,0,,2,1.0,,99.0,,R1) Twin Room- Shared Facilities,2017-04-24 03:15:30.286548,55.934557,-3.173086,0101000020E6100000E529ABE97A6209C0BA9F53909FF74B40
4470532,1140,4032602,Private room,,Edinburgh,,Mayfield,0,,2,1.0,,99.0,,R4) Twin Room Shared facilities,2017-04-24 03:15:30.288986,55.933436,-3.172171,0101000020E6100000938E72309B6009C05C74B2D47AF74B40
16401451,1140,370328,Private room,,Edinburgh,,Tollcross,0,,2,1.0,,85.0,,Gorgeous double ensuite room in modern development,2017-04-24 03:15:30.294346,55.944674,-3.203699,0101000020E6100000BFD2F9F02CA109C0D5B0DF13EBF84B40
3238033,1140,5591429,Private room,,Edinburgh,,Pilton,1,,2,1.0,,85.0,,Double Room for Edinburgh Festival,2017-04-24 03:15:30.297124,55.971508,-3.237875,0101000020E6100000BA490C022BE709C0B4E6C75F5AFC4B40
13290972,1140,74995408,Private room,,Edinburgh,,Fountainbridge,1,,2,1.0,,93.0,,Apartment at the Park,2017-04-24 03:15:30.301104,55.937792,-3.222811,0101000020E61000003083312251C809C0A839799109F84B40
1471134,1140,7876276,Private room,,Edinburgh,,Davidsons Mains,0,,1,1.0,,88.0,,Private Double en-suite bedroom,2017-04-24 03:15:30.303694,55.969711,-3.265891,0101000020E6100000E867EA758B200AC025C9737D1FFC4B40
14416537,1140,88696045,Private room,,Edinburgh,,Restalrig,1,,2,1.0,,99.0,,Fantastic for a short walk to city!,2017-04-24 03:15:30.306875,55.962294,-3.163213,0101000020E6100000A2410A9E424E09C08A9125732CFB4B40
16254262,1140,43993510,Private room,,Edinburgh,,Murrayfield,0,,1,1.0,,102.0,,Private room in a city centre apartment,2017-04-24 03:15:30.309273,55.951532,-3.215781,0101000020E610000010C99063EBB909C07A8CF2CCCBF94B40
7595643,1140,17769506,Private room,,Edinburgh,,North Morningside,0,,2,1.0,,93.0,,Experience the charm of old,2017-04-24 03:15:31.757878,55.931777,-3.21011,0101000020E61000001F80D4264EAE09C01E15FF7744F74B40
7216543,1140,8866857,Private room,,Edinburgh,,Holyrood,0,,2,1.0,,93.0,,In The Heart Of The Festival,2017-04-24 03:15:31.763668,55.949287,-3.189017,0101000020E6100000B11A4B581B8309C04CC2853C82F94B40
11846639,1140,63128154,Private room,,Edinburgh,,North Morningside,1,,2,1.0,,85.0,,Large room with quiet outlook to garden,2017-04-24 03:15:31.770236,55.929853,-3.208023,0101000020E6100000C6866EF607AA09C0338B506C05F74B40
13724421,1140,80240763,Private room,,Edinburgh,,Southside,1,,2,1.0,,85.0,,Double room in city center,2017-04-24 03:15:31.773602,55.942003,-3.177467,0101000020E610000030F488D1736B09C0F0DDE68D93F84B40
9109869,1140,47479391,Private room,,Edinburgh,,Broughton,1,,2,1.0,,99.0,,Large room in central Edinburgh.,2017-04-24 03:15:31.777250,55.965837,-3.192431,0101000020E610000082E49D43198A09C02522FC8BA0FB4B40
3676189,1140,18669020,Private room,,Edinburgh,,Restalrig,1,,2,1.0,,93.0,,Edinburgh Festival Retreat,2017-04-24 03:15:31.780250,55.960265,-3.162113,0101000020E6100000350D8AE6014C09C0293FA9F6E9FA4B40
15940145,1140,94731345,Private room,,Edinburgh,,Granton,0,,2,1.0,,99.0,,Double Bedroom - new built,2017-04-24 03:15:31.783467,55.973265,-3.228009,0101000020E6100000A08CF161F6D209C0B4AB90F293FC4B40
12443943,1140,67323322,Private room,,Edinburgh,,Milton,0,,12,6.0,,93.0,,Abercorn Guest House,2017-04-24 03:15:31.786738,55.952001,-3.107473,0101000020E6100000C39FE1CD1ADC08C03161342BDBF94B40
13214682,1140,6029355,Private room,,Edinburgh,,Dean,6,4.5,2,1.0,,93.0,,City centre mews cottage,2017-04-24 03:28:46.680812,55.954672,-3.21931,0101000020E6100000707CED9925C109C016342DB132FA4B40
7002654,1140,21736551,Private room,,Edinburgh,,Craiglockhart,33,5.0,2,1.0,,85.0,,Double bedroom + private bathroom,2017-04-24 03:28:45.395902,55.929848,-3.235847,0101000020E6100000B1E07EC003E309C021205F4205F74B40
12088562,1140,36123492,Private room,,Edinburgh,,New Town,21,5.0,2,1.0,,91.0,,Beautiful Edinburgh City Centre Apartment,2017-04-24 03:28:43.811298,55.957833,-3.203301,0101000020E6100000E9F351465CA009C0C90391459AFA4B40
