room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6347301,1071,31584727,Shared room,,Edinburgh,,Holyrood,45,4.0,10,1.0,,155.0,,Bobbys bunkhouse 10bed room,2017-04-14 20:38:41.179001,55.949363,-3.192194,0101000020E61000003FE603029D8909C027840EBA84F94B40
5013703,1071,24130727,Shared room,,Edinburgh,,New Town,2,0.0,1,1.0,,129.0,,'The Baxter' 12 Bed Dorm,2017-04-14 20:38:39.723745,55.953884,-3.191165,0101000020E6100000641EF983818709C0BE16F4DE18FA4B40
5002784,1071,24130727,Shared room,,Edinburgh,,Holyrood,7,4.5,1,1.0,,129.0,,'The Baxter' 9 Bed Dorm,2017-04-14 20:38:39.720387,55.953184,-3.189495,0101000020E61000004E0B5EF4158409C00589EDEE01FA4B40
8614766,1071,33096930,Shared room,,Edinburgh,,Southside,2,0.0,10,1.0,,91.0,,"Historical Central Flat, Edinburgh",2017-04-14 20:38:37.612283,55.943237,-3.180376,0101000020E6100000CADDE7F8687109C047B071FDBBF84B40
13814606,1071,23120847,Shared room,,Edinburgh,,Broughton,3,4.5,2,1.0,,71.0,,Sofabed in nice central flat near city centre,2017-04-14 20:38:36.091277,55.965881,-3.181052,0101000020E6100000CE001764CB7209C0F56915FDA1FB4B40
10160178,1071,2408509,Shared room,,Edinburgh,,Pilton,6,4.5,2,1.0,,65.0,,double futon in livingroom,2017-04-14 20:38:36.088142,55.974568,-3.248643,0101000020E6100000DD088B8A38FD09C033DDEBA4BEFC4B40
16402907,1071,105566264,Shared room,,Edinburgh,,Holyrood,2,0.0,2,1.0,,65.0,,Bright in Edinburgh Sofa Bed for 2,2017-04-14 20:38:36.085876,55.949828,-3.18753,0101000020E6100000AB2688BA0F8009C09C69C2F693F94B40
17661530,1071,120201951,Shared room,,Edinburgh,,Drylaw,0,0.0,2,1.0,,64.0,,aldrin escape,2017-04-14 20:38:36.083691,55.966758,-3.245953,0101000020E610000020D3DA34B6F709C0BC92E4B9BEFB4B40
11008378,1071,36155037,Shared room,,Edinburgh,,Holyrood,0,0.0,4,1.0,,65.0,,High Street Hostel,2017-04-14 20:38:36.080550,55.950378,-3.185624,0101000020E610000056D28A6F287C09C0406B7EFCA5F94B40
17948355,1071,37327309,Shared room,,Edinburgh,,Drylaw,0,0.0,4,1.0,,71.0,,Ensuite double + Sofa Bed + Parking,2017-04-14 20:38:36.078229,55.966664,-3.228656,0101000020E6100000FE45D09849D409C03B1C5DA5BBFB4B40
