room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6347301,1220,31584727,Shared room,,Edinburgh,,Holyrood,49,4.0,10,1.0,,160.0,,Bobbys bunkhouse 10bed room,2017-05-12 03:52:08.793244,55.949363,-3.192194,0101000020E61000003FE603029D8909C027840EBA84F94B40
5013703,1220,24130727,Shared room,,Edinburgh,,New Town,2,0.0,1,1.0,,133.0,,'The Baxter' 12 Bed Dorm,2017-05-12 03:52:07.399704,55.953884,-3.191165,0101000020E6100000641EF983818709C0BE16F4DE18FA4B40
5002784,1220,24130727,Shared room,,Edinburgh,,Holyrood,8,4.5,1,1.0,,133.0,,'The Baxter' 9 Bed Dorm,2017-05-12 03:52:07.396194,55.953184,-3.189495,0101000020E61000004E0B5EF4158409C00589EDEE01FA4B40
18463220,1220,5859191,Shared room,,Edinburgh,,New Town,0,0.0,3,1.0,,107.0,,Perfect for Edinburgh Festival Fun!,2017-05-12 03:52:06.174402,55.956295,-3.194144,0101000020E61000008DB7955E9B8D09C0062AE3DF67FA4B40
8614766,1220,33096930,Shared room,,Edinburgh,,Southside,2,0.0,10,1.0,,94.0,,"Historical Central Flat, Edinburgh",2017-05-12 03:52:04.946089,55.943237,-3.180376,0101000020E6100000CADDE7F8687109C047B071FDBBF84B40
18356925,1220,127065377,Shared room,,Edinburgh,,Shandon,1,0.0,2,1.0,,94.0,,Double bedroom flat near Edinburgh city centre,2017-05-12 03:52:04.942907,55.933002,-3.231971,0101000020E61000009DF6949C13DB09C0228D0A9C6CF74B40
10160178,1220,2408509,Shared room,,Edinburgh,,Pilton,6,4.5,2,1.0,,67.0,,double futon in livingroom,2017-05-12 03:52:03.694674,55.974568,-3.248643,0101000020E6100000DD088B8A38FD09C033DDEBA4BEFC4B40
16141909,1220,105324978,Shared room,,Edinburgh,,Dalry,0,0.0,2,1.0,,80.0,,Bright room in quiet location near city center,2017-05-12 03:52:03.690005,55.942645,-3.219386,0101000020E6100000209A79724DC109C0745E6397A8F84B40
11008378,1220,36155037,Shared room,,Edinburgh,,Holyrood,0,0.0,4,1.0,,67.0,,High Street Hostel,2017-05-12 03:52:03.687169,55.950378,-3.185624,0101000020E610000056D28A6F287C09C0406B7EFCA5F94B40
17948355,1220,37327309,Shared room,,Edinburgh,,Drylaw,0,0.0,4,1.0,,73.0,,Ensuite double + Sofa Bed + Parking,2017-05-12 03:52:03.683680,55.966664,-3.228656,0101000020E6100000FE45D09849D409C03B1C5DA5BBFB4B40
14075694,1220,18001159,Shared room,,Edinburgh,,Dalry,2,0.0,1,1.0,,54.0,,"Cosy, central location for the solo traveller!",2017-05-12 03:52:02.563974,55.943348,-3.220733,0101000020E61000000A2FC1A90FC409C09E5F94A0BFF84B40
7985150,1220,20178674,Shared room,,Edinburgh,,Tollcross,3,4.0,1,1.0,,55.0,,Single SHARED bedroom to let in citycentre,2017-05-12 03:52:02.561666,55.941881,-3.202241,0101000020E61000005E488787309E09C0A5DC7D8E8FF84B40
16479548,1220,108180084,Shared room,,Edinburgh,,Shandon,0,0.0,2,1.0,,54.0,,"Clean, lovely & convenient shared room in Gorgie",2017-05-12 03:52:02.559365,55.938017,-3.23452,0101000020E6100000381092054CE009C0C80BE9F010F84B40
13783415,1220,46639005,Shared room,,Edinburgh,,Shandon,21,5.0,2,1.0,,46.0,,Double sofa bed in traditional flat,2017-05-12 03:52:02.556669,55.931928,-3.234631,0101000020E6100000AF05BD3786E009C0041DAD6A49F74B40
1212631,1220,1280381,Shared room,,Edinburgh,,New Town,7,4.0,1,1.0,,33.0,,Haggis Hostels - 4 Bed Female Dorm,2017-05-12 03:52:01.029986,55.954127,-3.188978,0101000020E6100000D34ECDE5068309C0849D62D520FA4B40
244021,1220,1280381,Shared room,,Edinburgh,,Holyrood,14,4.5,1,1.0,,33.0,,Haggis Hostels - 4 Bed Mixed Dorm,2017-05-12 03:52:01.026313,55.952762,-3.190915,0101000020E6100000D7868A71FE8609C08F6FEF1AF4F94B40
4098269,1220,20509940,Shared room,,Edinburgh,,New Town,62,4.5,1,1.0,,33.0,,CODE Hostel,2017-05-12 03:52:01.021401,55.951844,-3.200614,0101000020E61000003CF54883DB9A09C069723106D6F94B40
6091676,1220,31584727,Shared room,,Edinburgh,,Tollcross,58,4.0,1,1.0,,27.0,,Bobby's Bunkhouse 4 person Dorm,2017-05-12 03:52:01.016102,55.94879,-3.193269,0101000020E61000001EA5129ED08B09C0CC6262F371F94B40
6091797,1220,31584727,Shared room,,Edinburgh,,Tollcross,83,4.0,1,1.0,,14.0,,Bobby's Bunkhouse 10person dorm,2017-05-12 03:52:01.013402,55.947094,-3.193234,0101000020E610000057CD7344BE8B09C0711E4E603AF94B40
3957194,1220,20509940,Shared room,,Edinburgh,,New Town,20,4.5,1,1.0,,33.0,,CODE Hostel,2017-05-12 03:51:59.564317,55.952589,-3.199866,0101000020E6100000A0A86C58539909C0C2C3B46FEEF94B40
14450492,1220,84938016,Shared room,,Edinburgh,,Craigmillar,4,4.5,2,1.0,,13.0,,Edinburgh Lovely Couch surfing,2017-05-12 03:51:59.562200,55.93519,-3.115264,0101000020E6100000C83F33880FEC08C0EBC5504EB4F74B40
6095453,1220,31584727,Shared room,,Edinburgh,,Holyrood,97,4.0,1,1.0,,16.0,,Bobby's Bunkhouse 2person room,2017-05-12 03:51:59.559653,55.948797,-3.191638,0101000020E6100000E65DF580798809C07EC51A2E72F94B40
4155553,1220,20509940,Shared room,,Edinburgh,,Tollcross,52,5.0,1,1.0,,33.0,,CODE Hostel,2017-05-12 03:51:59.556789,55.951349,-3.199496,0101000020E61000006876DD5B919809C0890AD5CDC5F94B40
4663539,1220,24130727,Shared room,,Edinburgh,,New Town,7,5.0,1,1.0,,29.0,,'The Baxter' 6  Bed Dorm,2017-05-12 03:51:59.554123,55.954665,-3.189414,0101000020E6100000823CBB7CEB8309C063D1747632FA4B40
253552,1220,1280381,Shared room,,Edinburgh,,Holyrood,25,4.5,1,1.0,,27.0,,Haggis Hostels - 10 Bed Mixed Dorm,2017-05-12 03:51:59.551546,55.952528,-3.190976,0101000020E61000003291D26C1E8709C01C430070ECF94B40
7993481,1220,42193891,Shared room,,Edinburgh,,Calton,1,0.0,1,1.0,,13.0,,Longer room to share short time,2017-05-12 03:51:59.549393,55.958101,-3.180817,0101000020E6100000957CEC2E507209C0E8A1B60DA3FA4B40
6347331,1220,31584727,Shared room,,Edinburgh,,Holyrood,139,4.0,1,1.0,,16.0,,Bobby's Bunkhouse 2 bed dorm,2017-05-12 03:51:59.547151,55.948801,-3.190931,0101000020E6100000325706D5068709C0C0B4A84F72F94B40
